what,kind,bundleId,bundleVersion,description,time
activated,view,org.python.pydev,3.8.0.201409251235,"org.python.pydev.navigator.view",1423362594403
opened,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1423362594682
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1423362594769
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423363145668
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423363969510
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423364373205
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423364377116
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1423364430919
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423364443726
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423364812521
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1423364817833
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1423364850344
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1423365539719
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423365549501
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423365584634
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1423365586791
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1423365587687
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1423365589815
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423365591830
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423366103421
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1423366323652
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423366324923
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423366353447
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1423366354723
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1423366355592
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1423366378478
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423366379276
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423366388810
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1423366390006
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1423366392332
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1423366393764
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1423366396668
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423366397342
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423366421829
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423366432169
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1423366432222
